second,avg_latency_ms_etcd_v3,throughput_etcd_v3,cumulative_throughput_etcd_v3,avg_cpu_etcd_v3,avg_memory_mb_etcd_v3,avg_latency_ms_zookeeper_3.4.8,throughput_zookeeper_3.4.8,cumulative_throughput_zookeeper_3.4.8,avg_cpu_zookeeper_3.4.8,avg_memory_mb_zookeeper_3.4.8,avg_latency_ms_consul_0.6.4,throughput_consul_0.6.4,cumulative_throughput_consul_0.6.4,avg_cpu_consul_0.6.4,avg_memory_mb_consul_0.6.4
248,,,,,,,,,,,1176.667971,740,669912,65.90,1413.89
249,,,,,,,,,,,1182.277412,929,670841,65.77,1414.51
250,,,,,,,,,,,1178.632781,917,671758,65.64,1414.64
251,,,,,,,,,,,1172.510039,814,672572,65.50,1415.06
252,,,,,,,,,,,1188.318634,931,673503,65.38,1415.52
253,,,,,,,,,,,1156.941370,907,674410,65.25,1416.30
254,,,,,,,,,,,1119.481079,862,675272,65.12,1417.16
255,,,,,,,,,,,1047.972081,880,676152,64.99,1418.52
256,,,,,,,,,,,981.566199,1129,677281,64.88,1419.61
257,,,,,,,,,,,898.240981,1216,678497,64.77,1425.14
258,,,,,,,,,,,885.862780,1076,679573,64.66,1432.08
259,,,,,,,,,,,856.691082,1143,680716,64.60,1439.11
260,,,,,,,,,,,821.486424,1070,681786,64.70,1442.24
261,,,,,,,,,,,695.477398,1853,683639,64.75,1444.17
262,,,,,,,,,,,506.564654,2001,685640,64.68,1448.26
263,,,,,,,,,,,501.820816,1834,687474,64.67,1457.73
264,,,,,,,,,,,638.557762,1570,689044,64.70,1459.58
265,,,,,,,,,,,624.485430,1600,690644,64.61,1460.86
266,,,,,,,,,,,586.906082,1825,692469,64.53,1463.02
267,,,,,,,,,,,545.197085,1903,694372,64.46,1464.16
268,,,,,,,,,,,531.446167,1807,696179,64.38,1465.89
269,,,,,,,,,,,506.441280,1951,698130,64.32,1467.47
270,,,,,,,,,,,504.854237,2002,700132,64.25,1469.57
271,,,,,,,,,,,468.589575,2242,702374,64.19,1471.05
272,,,,,,,,,,,464.326074,2330,704704,64.51,1481.52
273,,,,,,,,,,,224.986250,4552,709256,64.58,1482.77
274,,,,,,,,,,,263.592101,3689,712945,64.78,1492.69
275,,,,,,,,,,,258.639407,3807,716752,64.80,1496.71
276,,,,,,,,,,,294.331965,3398,720150,64.81,1498.68
277,,,,,,,,,,,300.268970,3288,723438,64.86,1500.50
278,,,,,,,,,,,339.878018,2833,726271,64.93,1502.77
279,,,,,,,,,,,414.075336,2108,728379,65.28,1551.27
280,,,,,,,,,,,426.830876,2618,730997,65.62,1562.18
281,,,,,,,,,,,392.930312,2051,733048,65.64,1564.92
282,,,,,,,,,,,491.441233,2379,735427,65.63,1605.94
283,,,,,,,,,,,424.360892,2269,737696,65.76,1633.33
284,,,,,,,,,,,436.856682,2305,740001,65.70,1642.71
285,,,,,,,,,,,459.105737,2244,742245,65.66,1696.22
286,,,,,,,,,,,473.306902,2140,744385,65.80,1711.54
287,,,,,,,,,,,436.185328,2376,746761,65.78,1713.39
288,,,,,,,,,,,421.802905,2067,748828,65.95,1732.92
289,,,,,,,,,,,542.861900,1926,750754,66.19,1748.76
290,,,,,,,,,,,461.025496,2423,753177,66.44,1754.90
291,,,,,,,,,,,303.391043,3240,756417,66.70,1756.81
292,,,,,,,,,,,285.523639,1872,758289,66.70,1778.50
293,,,,,,,,,,,541.663400,2739,761028,66.87,1795.23
294,,,,,,,,,,,536.768730,1362,762390,66.98,1854.38
295,,,,,,,,,,,717.922369,1190,763580,66.89,1913.51
296,,,,,,,,,,,978.193948,812,764392,66.95,1933.07
297,,,,,,,,,,,1358.151395,841,765233,67.02,1947.40
298,,,,,,,,,,,1614.763418,413,765646,66.90,1956.84
299,,,,,,,,,,,1715.836390,631,766277,66.95,1963.21
300,,,,,,,,,,,1985.801600,368,766645,67.01,1970.78
301,,,,,,,,,,,2015.777827,636,767281,66.89,1970.78
302,,,,,,,,,,,1948.494177,370,767651,66.94,1975.47
303,,,,,,,,,,,1972.829223,616,768267,67.00,1975.83
304,,,,,,,,,,,1995.119297,445,768712,66.95,1975.83
305,,,,,,,,,,,1985.584183,575,769287,66.93,1975.83
306,,,,,,,,,,,1912.408293,425,769712,67.00,1975.83
307,,,,,,,,,,,1929.056899,579,770291,67.02,1976.54
308,,,,,,,,,,,2037.365528,364,770655,66.93,1981.77
309,,,,,,,,,,,2073.114950,635,771290,66.82,1985.68
310,,,,,,,,,,,1926.203326,377,771667,67.04,1988.40
311,,,,,,,,,,,2090.482586,603,772270,66.93,1992.39
312,,,,,,,,,,,1952.114721,446,772716,66.82,1995.83
313,,,,,,,,,,,1957.433568,528,773244,67.24,1996.10
314,,,,,,,,,,,2121.345143,427,773671,67.13,1996.43
315,,,,,,,,,,,1961.651562,591,774262,67.01,1996.43
316,,,,,,,,,,,1912.874554,410,774672,67.16,1996.88
317,,,,,,,,,,,2064.498155,587,775259,67.13,1999.64
318,,,,,,,,,,,2077.790927,412,775671,67.01,1999.64
319,,,,,,,,,,,1940.551436,587,776258,67.06,1999.65
320,,,,,,,,,,,2072.137051,401,776659,67.13,1999.65
321,,,,,,,,,,,2056.616247,605,777264,67.01,1999.84
322,,,,,,,,,,,1879.683489,413,777677,66.89,2000.20
323,,,,,,,,,,,1963.384134,571,778248,67.13,2000.20
324,,,,,,,,,,,2082.701226,425,778673,67.01,2000.20
325,,,,,,,,,,,2014.103719,593,779266,66.97,2000.66
326,,,,,,,,,,,1985.029540,392,779658,67.27,2000.66
327,,,,,,,,,,,2121.805429,589,780247,67.23,2013.02
328,,,,,,,,,,,2039.385600,424,780671,67.19,2040.11
329,,,,,,,,,,,2057.833865,580,781251,67.55,2047.23
330,,,,,,,,,,,2212.911734,412,781663,67.61,2075.41
331,,,,,,,,,,,1931.300051,594,782257,67.51,2131.43
332,,,,,,,,,,,1235.858879,983,783240,67.59,2186.17
333,,,,,,,,,,,1266.661664,787,784027,67.83,2191.71
334,,,,,,,,,,,1013.531299,1031,785058,67.74,2191.89
335,,,,,,,,,,,920.122655,1037,786095,67.82,2191.98
336,,,,,,,,,,,954.241643,991,787086,68.08,2203.50
337,,,,,,,,,,,834.226031,1514,788600,68.02,2203.50
338,,,,,,,,,,,723.452983,1412,790012,68.10,2203.50
339,,,,,,,,,,,891.010678,995,791007,68.36,2203.50
340,,,,,,,,,,,850.481921,1209,792216,68.28,2203.50
341,,,,,,,,,,,723.701157,1383,793599,68.38,2203.50
342,,,,,,,,,,,732.051193,1492,795091,68.56,2203.50
343,,,,,,,,,,,693.434229,1332,796423,68.59,2203.50
344,,,,,,,,,,,604.916433,1710,798133,68.67,2203.50
345,,,,,,,,,,,628.959750,1976,800109,68.79,2203.50
346,,,,,,,,,,,529.736527,1711,801820,68.91,2203.50
347,,,,,,,,,,,427.581559,2367,804187,69.02,2203.50
348,,,,,,,,,,,455.368041,2477,806664,69.17,2203.50
349,,,,,,,,,,,357.857833,2452,809116,69.32,2203.59
350,,,,,,,,,,,362.578156,2622,811738,69.46,2203.59
351,,,,,,,,,,,404.693186,2694,814432,69.62,2203.68
352,,,,,,,,,,,319.547704,3048,817480,69.77,2203.68
353,,,,,,,,,,,303.510379,3339,820819,69.92,2203.68
354,,,,,,,,,,,312.301603,3177,823996,70.09,2203.68
355,,,,,,,,,,,302.553978,3328,827324,70.25,2203.68
356,,,,,,,,,,,381.365033,1851,829175,70.36,2203.68
357,,,,,,,,,,,380.729406,3470,832645,70.49,2203.68
358,,,,,,,,,,,314.941890,3159,835804,70.54,2203.76
359,,,,,,,,,,,275.418686,3089,838893,70.88,2203.76
360,,,,,,,,,,,358.706002,2906,841799,71.01,2203.76
361,,,,,,,,,,,301.067646,3609,845408,71.05,2203.76
362,,,,,,,,,,,256.687347,3568,848976,71.35,2203.85
363,,,,,,,,,,,398.111355,2593,851569,71.46,2203.85
364,,,,,,,,,,,316.883163,3238,854807,71.56,2203.85
365,,,,,,,,,,,249.445092,4251,859058,71.71,2203.85
366,,,,,,,,,,,331.974798,3003,862061,71.90,2203.85
367,,,,,,,,,,,304.326414,3313,865374,72.08,2203.85
368,,,,,,,,,,,247.709714,3868,869242,72.09,2203.85
369,,,,,,,,,,,243.239920,4260,873502,72.35,2203.85
370,,,,,,,,,,,424.989258,2391,875893,72.60,2203.93
371,,,,,,,,,,,243.295672,4032,879925,72.61,2203.93
372,,,,,,,,,,,243.888609,4034,883959,72.80,2205.06
373,,,,,,,,,,,248.437770,3133,887092,73.13,2205.06
374,,,,,,,,,,,309.402622,3902,890994,73.15,2205.06
375,,,,,,,,,,,249.858629,4096,895090,73.16,2205.06
376,,,,,,,,,,,243.448743,4160,899250,73.38,2205.06
377,,,,,,,,,,,367.124925,2362,901612,73.70,2205.06
378,,,,,,,,,,,257.690477,4155,905767,73.72,2205.06
379,,,,,,,,,,,255.691140,4096,909863,73.87,2205.06
380,,,,,,,,,,,406.470644,1940,911803,74.03,2205.06
381,,,,,,,,,,,319.489971,3456,915259,74.20,2205.06
382,,,,,,,,,,,303.848331,3728,918987,74.23,2205.06
383,,,,,,,,,,,248.056624,3712,922699,74.43,2205.06
384,,,,,,,,,,,310.391466,2336,925035,74.64,2205.06
385,,,,,,,,,,,341.264788,3815,928850,74.66,2205.06
386,,,,,,,,,,,261.890778,3828,932678,74.86,2205.18
387,,,,,,,,,,,263.984943,3893,936571,75.04,2205.18
388,,,,,,,,,,,357.673657,2320,938891,75.23,2205.18
389,,,,,,,,,,,330.805861,3436,942327,75.28,2205.18
390,,,,,,,,,,,246.938017,4097,946424,75.43,2205.26
391,,,,,,,,,,,254.712574,4029,950453,75.59,2205.26
392,,,,,,,,,,,335.030517,2893,953346,75.82,2205.26
393,,,,,,,,,,,347.750144,2942,956288,75.89,2205.26
394,,,,,,,,,,,276.886874,3108,959396,75.91,2205.26
395,,,,,,,,,,,259.122486,4444,963840,76.04,2205.35
396,,,,,,,,,,,264.178721,3592,967432,76.29,2205.43
397,,,,,,,,,,,514.768883,2086,969518,76.51,2205.43
398,,,,,,,,,,,272.150493,3526,973044,76.52,2205.43
399,,,,,,,,,,,271.955029,3642,976686,76.52,2205.43
400,,,,,,,,,,,261.909139,3889,980575,76.54,2205.43
401,,,,,,,,,,,273.651769,3596,984171,76.92,2205.43
402,,,,,,,,,,,510.254947,1963,986134,77.11,2205.43
403,,,,,,,,,,,270.879040,3648,989782,77.13,2205.43
404,,,,,,,,,,,253.925457,4082,993864,77.14,2205.43
405,,,,,,,,,,,272.961013,3533,997397,77.16,2205.43
406,,,,,,,,,,,259.178057,3862,1001259,77.37,2205.43
407,,,,,,,,,,,373.801086,2211,1003470,77.73,2205.43
408,,,,,,,,,,,294.777208,4039,1007509,77.74,2205.43
409,,,,,,,,,,,274.214890,3648,1011157,77.75,2205.43
410,,,,,,,,,,,255.188659,3967,1015124,77.77,2205.43
411,,,,,,,,,,,251.398077,3968,1019092,77.85,2205.43
412,,,,,,,,,,,414.044042,2283,1021375,78.16,2205.87
413,,,,,,,,,,,294.303753,3170,1024545,78.32,2205.99
414,,,,,,,,,,,322.296056,3447,1027992,78.35,2205.99
415,,,,,,,,,,,250.240614,3968,1031960,78.36,2205.99
416,,,,,,,,,,,270.638038,3621,1035581,78.37,2205.99
417,,,,,,,,,,,262.811922,3282,1038863,78.55,2206.13
418,,,,,,,,,,,400.248996,2691,1041554,78.76,2206.29
419,,,,,,,,,,,260.874587,4102,1045656,78.77,2206.29
420,,,,,,,,,,,298.059354,3021,1048677,78.93,2206.55
421,,,,,,,,,,,342.883862,3222,1051899,78.92,2206.55
422,,,,,,,,,,,267.765215,3657,1055556,78.94,2206.55
423,,,,,,,,,,,254.547832,2580,1058136,79.15,2206.55
424,,,,,,,,,,,319.535131,4060,1062196,79.37,2206.79
425,,,,,,,,,,,246.421613,4234,1066430,79.39,2206.79
426,,,,,,,,,,,261.297828,4032,1070462,79.39,2206.87
427,,,,,,,,,,,275.168711,2831,1073293,79.56,2207.20
428,,,,,,,,,,,319.595712,3675,1076968,79.57,2207.20
429,,,,,,,,,,,289.705676,2440,1079408,79.78,2207.36
430,,,,,,,,,,,328.402833,4018,1083426,79.82,2207.45
431,,,,,,,,,,,268.085242,3312,1086738,80.01,2207.53
432,,,,,,,,,,,242.230494,4615,1091353,80.02,2207.53
433,,,,,,,,,,,262.058168,3784,1095137,80.03,2207.53
434,,,,,,,,,,,254.952499,3712,1098849,80.04,2207.77
435,,,,,,,,,,,264.432010,3758,1102607,80.38,2208.02
436,,,,,,,,,,,411.419177,2612,1105219,80.46,2208.02
437,,,,,,,,,,,248.238977,4035,1109254,80.47,2208.19
438,,,,,,,,,,,262.743968,3477,1112731,80.69,2208.19
439,,,,,,,,,,,252.238397,4338,1117069,80.70,2208.19
440,,,,,,,,,,,238.073642,4158,1121227,80.71,2208.19
441,,,,,,,,,,,255.161524,3842,1125069,80.72,2208.37
442,,,,,,,,,,,254.923531,3968,1129037,80.89,2208.53
443,,,,,,,,,,,395.075822,2496,1131533,80.93,2208.71
444,,,,,,,,,,,259.669531,3904,1135437,81.02,2209.06
445,,,,,,,,,,,261.245226,3861,1139298,81.14,2209.62
446,,,,,,,,,,,236.791198,3638,1142936,81.36,2209.79
447,,,,,,,,,,,247.394377,4596,1147532,81.38,2209.79
448,,,,,,,,,,,247.862549,4032,1151564,81.39,2209.79
449,,,,,,,,,,,230.362643,4288,1155852,81.44,2210.05
450,,,,,,,,,,,362.207552,2496,1158348,81.63,2210.05
451,,,,,,,,,,,251.715840,4389,1162737,81.64,2210.05
452,,,,,,,,,,,229.771115,4314,1167051,81.66,2210.05
453,,,,,,,,,,,221.752653,4544,1171595,81.70,2210.83
454,,,,,,,,,,,227.065271,4288,1175883,81.88,2231.76
455,,,,,,,,,,,259.508841,3107,1178990,82.12,2238.52
456,,,,,,,,,,,293.381596,4151,1183141,82.15,2239.42
457,,,,,,,,,,,211.882321,4782,1187923,82.26,2244.83
458,,,,,,,,,,,357.210615,2807,1190730,82.43,2246.35
459,,,,,,,,,,,194.857530,5055,1195785,82.46,2247.58
460,,,,,,,,,,,202.715600,5071,1200856,82.51,2247.77
461,,,,,,,,,,,189.753931,5105,1205961,82.55,2249.31
462,,,,,,,,,,,202.253226,4992,1210953,82.59,2251.11
463,,,,,,,,,,,212.291370,4864,1215817,82.70,2267.11
464,,,,,,,,,,,263.278538,3225,1219042,82.81,2272.03
465,,,,,,,,,,,351.238972,2903,1221945,82.75,2276.96
466,,,,,,,,,,,494.749164,1747,1223692,82.67,2290.32
467,,,,,,,,,,,623.967752,1649,1225341,82.80,2312.88
468,,,,,,,,,,,660.738116,1060,1226401,83.02,2315.51
469,,,,,,,,,,,363.715813,4127,1230528,83.06,2316.93
470,,,,,,,,,,,238.630338,4224,1234752,83.06,2318.48
471,,,,,,,,,,,222.811692,4108,1238860,83.08,2148.02
472,,,,,,,,,,,243.892738,4375,1243235,83.09,2150.99
473,,,,,,,,,,,224.021177,4483,1247718,83.11,2155.25
474,,,,,,,,,,,226.884354,4459,1252177,83.13,2157.42
475,,,,,,,,,,,232.514484,4315,1256492,83.15,2162.10
476,,,,,,,,,,,217.346004,4563,1261055,83.18,2006.11
477,,,,,,,,,,,218.228484,4544,1265599,83.40,2035.48
478,,,,,,,,,,,259.572375,2648,1268247,83.65,2045.01
479,,,,,,,,,,,347.350977,3757,1272004,83.78,2065.10
480,,,,,,,,,,,235.160932,4352,1276356,83.91,2067.87
481,,,,,,,,,,,243.232278,4006,1280362,83.98,2068.84
482,,,,,,,,,,,225.337212,4506,1284868,84.11,2073.22
483,,,,,,,,,,,227.973144,4416,1289284,84.23,1905.03
484,,,,,,,,,,,239.574050,4160,1293444,84.37,1922.58
485,,,,,,,,,,,224.187577,4439,1297883,84.53,1986.45
486,,,,,,,,,,,255.056484,1859,1299742,84.81,2021.83
487,,,,,,,,,,,375.223697,3875,1303617,85.17,2023.93
488,,,,,,,,,,,227.027346,4711,1308328,85.31,2025.48
489,,,,,,,,,,,234.287144,4096,1312424,85.52,2054.50
490,,,,,,,,,,,266.289177,2644,1315068,85.76,2242.84
491,,,,,,,,,,,489.731042,2494,1317562,85.79,2485.10
492,,,,,,,,,,,675.893494,1632,1319194,86.03,2583.42
493,,,,,,,,,,,352.367461,1881,1321075,86.39,2589.24
494,,,,,,,,,,,417.157907,3207,1324282,86.45,2638.94
495,,,,,,,,,,,288.778726,3456,1327738,86.51,2741.93
496,,,,,,,,,,,288.574634,3392,1331130,86.63,2884.10
497,,,,,,,,,,,311.307209,3456,1334586,87.06,2941.08
498,,,,,,,,,,,629.777052,904,1335490,87.34,2978.12
499,,,,,,,,,,,525.196079,2581,1338071,87.38,3139.45
500,,,,,,,,,,,328.221282,2887,1340958,87.36,3213.06
501,,,,,,,,,,,361.490556,2000,1342958,87.54,3293.59
502,,,,,,,,,,,665.477843,1888,1344846,87.73,3384.15
503,,,,,,,,,,,538.930241,1933,1346779,88.03,3387.91
504,,,,,,,,,,,252.291376,4172,1350951,88.04,3388.10
505,,,,,,,,,,,262.057091,3381,1354332,88.23,3388.44
506,,,,,,,,,,,684.449966,1268,1355600,88.19,3388.53
507,,,,,,,,,,,566.635814,1283,1356883,88.66,3388.97
508,,,,,,,,,,,424.021024,3615,1360498,88.67,3388.97
509,,,,,,,,,,,261.023093,3814,1364312,88.79,3396.10
510,,,,,,,,,,,399.836111,2368,1366680,88.82,3398.35
511,,,,,,,,,,,431.234916,2227,1368907,89.19,3398.35
512,,,,,,,,,,,682.142473,1662,1370569,89.30,3398.35
513,,,,,,,,,,,250.000469,3552,1374121,89.24,3398.70
514,,,,,,,,,,,559.669548,1855,1375976,89.22,3398.70
515,,,,,,,,,,,302.515427,3203,1379179,89.57,3398.87
516,,,,,,,,,,,402.127367,1526,1380705,89.62,3398.87
517,,,,,,,,,,,999.459326,1186,1381891,89.60,3398.87
518,,,,,,,,,,,774.917229,1058,1382949,89.76,3398.87
519,,,,,,,,,,,464.079426,3060,1386009,89.75,3398.87
520,,,,,,,,,,,266.203734,3711,1389720,89.88,3398.87
521,,,,,,,,,,,285.084041,3510,1393230,90.21,3399.14
522,,,,,,,,,,,621.285180,1281,1394511,90.15,3399.14
523,,,,,,,,,,,488.183463,1896,1396407,90.37,3399.14
524,,,,,,,,,,,448.364452,2956,1399363,90.36,3399.14
525,,,,,,,,,,,267.025868,3696,1403059,90.47,3399.14
526,,,,,,,,,,,345.015454,1942,1405001,90.69,3399.14
527,,,,,,,,,,,476.201352,2431,1407432,90.80,3399.14
528,,,,,,,,,,,305.325076,3800,1411232,91.01,3399.14
529,,,,,,,,,,,506.181638,1968,1413200,91.03,3399.14
530,,,,,,,,,,,264.821946,3840,1417040,91.10,3399.14
531,,,,,,,,,,,307.733681,2444,1419484,91.47,3399.14
532,,,,,,,,,,,554.324278,2122,1421606,91.42,3399.14
533,,,,,,,,,,,396.240517,2466,1424072,91.45,3399.14
534,,,,,,,,,,,428.882259,1349,1425421,91.62,3399.14
535,,,,,,,,,,,412.453999,3570,1428991,91.62,3399.40
536,,,,,,,,,,,265.602021,3152,1432143,92.05,3401.41
537,,,,,,,,,,,664.786284,1601,1433744,91.99,3401.41
538,,,,,,,,,,,502.958002,1990,1435734,91.93,3401.41
539,,,,,,,,,,,497.640051,2064,1437798,92.06,3407.57
540,,,,,,,,,,,736.708605,1540,1439338,92.12,3409.95
541,,,,,,,,,,,249.405754,3814,1443152,92.54,3424.26
542,,,,,,,,,,,521.648756,1676,1444828,92.50,3424.26
543,,,,,,,,,,,477.360933,2048,1446876,92.44,3424.26
544,,,,,,,,,,,494.870641,2003,1448879,92.37,3424.26
545,,,,,,,,,,,508.652185,2002,1450881,92.56,3430.15
546,,,,,,,,,,,613.415864,1881,1452762,92.86,3438.42
547,,,,,,,,,,,300.613813,2709,1455471,93.01,3441.31
548,,,,,,,,,,,582.919999,1963,1457434,92.94,3441.31
549,,,,,,,,,,,530.516008,1682,1459116,92.87,3441.31
550,,,,,,,,,,,555.990658,1722,1460838,92.81,3441.31
551,,,,,,,,,,,550.922449,1872,1462710,93.14,3454.16
552,,,,,,,,,,,554.372617,1601,1464311,93.42,3457.68
553,,,,,,,,,,,519.765818,2227,1466538,93.43,3458.56
554,,,,,,,,,,,483.290301,2242,1468780,93.39,3458.56
555,,,,,,,,,,,386.941904,2593,1471373,93.36,3458.56
556,,,,,,,,,,,348.348506,2789,1474162,93.38,3458.56
557,,,,,,,,,,,368.425611,2676,1476838,93.75,3458.56
558,,,,,,,,,,,722.036437,1431,1478269,93.98,3458.56
559,,,,,,,,,,,416.428505,2324,1480593,93.97,3458.56
560,,,,,,,,,,,306.098118,3425,1484018,93.95,3458.56
561,,,,,,,,,,,303.563138,3293,1487311,93.93,3458.56
562,,,,,,,,,,,275.154477,3626,1490937,94.10,3458.56
563,,,,,,,,,,,615.100889,1245,1492182,94.26,3458.56
564,,,,,,,,,,,725.808664,1408,1493590,94.54,3458.56
565,,,,,,,,,,,319.926662,3847,1497437,94.54,3458.56
566,,,,,,,,,,,256.993983,3964,1501401,94.54,3458.56
567,,,,,,,,,,,254.813156,3776,1505177,94.76,3458.56
568,,,,,,,,,,,382.265065,2421,1507598,94.73,3458.56
569,,,,,,,,,,,391.854827,2645,1510243,94.98,3458.56
570,,,,,,,,,,,412.051442,926,1511169,95.17,3458.56
571,,,,,,,,,,,466.331841,3623,1514792,95.16,3458.56
572,,,,,,,,,,,249.687885,3776,1518568,95.16,3458.56
573,,,,,,,,,,,259.492752,4125,1522693,95.42,3458.64
574,,,,,,,,,,,262.303195,3747,1526440,95.42,3458.64
575,,,,,,,,,,,256.578821,3840,1530280,95.59,3458.64
576,,,,,,,,,,,578.672661,1624,1531904,95.82,3458.64
577,,,,,,,,,,,637.605809,1704,1533608,95.83,3458.64
578,,,,,,,,,,,261.308981,3776,1537384,95.82,3458.64
579,,,,,,,,,,,256.756959,3775,1541159,96.07,3461.45
580,,,,,,,,,,,276.932599,3776,1544935,96.09,3461.45
581,,,,,,,,,,,250.013904,3968,1548903,96.12,3461.45
582,,,,,,,,,,,251.911024,2943,1551846,96.24,3461.45
583,,,,,,,,,,,726.740665,1257,1553103,96.45,3461.45
584,,,,,,,,,,,628.282413,2111,1555214,96.44,3461.45
585,,,,,,,,,,,273.911038,3693,1558907,96.56,3461.45
586,,,,,,,,,,,252.335761,3652,1562559,96.70,3461.45
587,,,,,,,,,,,257.880345,4203,1566762,96.69,3461.45
588,,,,,,,,,,,257.954987,3836,1570598,96.74,3461.45
589,,,,,,,,,,,258.260757,2860,1573458,96.82,3461.45
590,,,,,,,,,,,609.965555,1995,1575453,96.99,3461.45
591,,,,,,,,,,,961.245224,1110,1576563,97.01,3461.45
592,,,,,,,,,,,258.853682,3639,1580202,97.23,3461.45
593,,,,,,,,,,,244.108991,3747,1583949,97.25,3461.45
594,,,,,,,,,,,267.387722,3869,1587818,97.24,3461.45
595,,,,,,,,,,,272.957986,3968,1591786,97.23,3461.45
596,,,,,,,,,,,257.908611,3791,1595577,97.39,3461.45
597,,,,,,,,,,,528.740104,1817,1597394,97.36,3461.45
598,,,,,,,,,,,336.053468,3001,1600395,97.56,3461.45
599,,,,,,,,,,,621.732279,1705,1602100,97.74,3461.45
600,,,,,,,,,,,267.778080,3325,1605425,97.84,3461.45
601,,,,,,,,,,,257.247150,4275,1609700,97.82,3461.45
602,,,,,,,,,,,270.112223,3728,1613428,97.82,3461.45
603,,,,,,,,,,,256.473068,3775,1617203,97.83,3461.45
604,,,,,,,,,,,255.441347,3563,1620766,97.97,3461.45
605,,,,,,,,,,,719.493949,1263,1622029,97.90,3461.45
606,,,,,,,,,,,539.410406,1925,1623954,97.97,3461.45
607,,,,,,,,,,,555.220200,1096,1625050,98.35,3461.45
608,,,,,,,,,,,519.139388,3007,1628057,98.34,3461.45
609,,,,,,,,,,,252.136877,3991,1632048,98.34,3461.45
610,,,,,,,,,,,245.357702,4030,1636078,98.33,3461.45
611,,,,,,,,,,,260.092940,3904,1639982,98.32,3461.45
612,,,,,,,,,,,247.724520,3904,1643886,98.50,3461.45
613,,,,,,,,,,,444.191975,2230,1646116,98.46,3461.45
614,,,,,,,,,,,431.227957,2046,1648162,98.56,3461.54
615,,,,,,,,,,,436.573850,1977,1650139,98.65,3461.54
616,,,,,,,,,,,720.534095,1283,1651422,98.82,3461.54
617,,,,,,,,,,,636.507226,2157,1653579,98.82,3461.54
618,,,,,,,,,,,249.862307,3921,1657500,98.81,3461.54
619,,,,,,,,,,,272.755700,3660,1661160,98.80,3461.54
620,,,,,,,,,,,252.516377,4032,1665192,98.78,3461.54
621,,,,,,,,,,,259.732772,3840,1669032,98.95,3461.54
622,,,,,,,,,,,242.419192,3627,1672659,99.15,3461.54
623,,,,,,,,,,,274.369944,3350,1676009,99.15,3461.54
624,,,,,,,,,,,697.680391,1405,1677414,99.06,3461.54
625,,,,,,,,,,,578.479620,1775,1679189,99.08,3461.54
626,,,,,,,,,,,596.444719,1267,1680456,99.22,3461.54
627,,,,,,,,,,,598.367264,2408,1682864,99.20,3461.54
628,,,,,,,,,,,267.875813,3720,1686584,99.19,3461.54
629,,,,,,,,,,,253.629901,3895,1690479,99.17,3461.54
630,,,,,,,,,,,255.636175,4069,1694548,99.15,3461.54
631,,,,,,,,,,,256.391642,3761,1698309,99.44,3461.54
632,,,,,,,,,,,272.625825,3768,1702077,99.50,3461.54
633,,,,,,,,,,,673.994047,1145,1703222,99.43,3461.54
634,,,,,,,,,,,560.005912,1988,1705210,99.36,3461.54
635,,,,,,,,,,,568.878737,1736,1706946,99.27,3461.54
636,,,,,,,,,,,604.596367,1417,1708363,99.22,3461.54
637,,,,,,,,,,,603.340121,1859,1710222,99.42,3461.54
638,,,,,,,,,,,653.301975,717,1710939,99.46,3461.63
639,,,,,,,,,,,375.920135,4412,1715351,99.50,3462.06
640,,,,,,,,,,,248.344751,4096,1719447,99.76,3462.15
641,,,,,,,,,,,245.573365,4032,1723479,99.92,3462.15
642,,,,,,,,,,,260.292978,3771,1727250,100.06,3462.15
643,,,,,,,,,,,662.456088,1370,1728620,100.04,3462.23
644,,,,,,,,,,,569.797393,1656,1730276,100.00,3462.23
645,,,,,,,,,,,607.019541,1483,1731759,99.96,3462.48
646,,,,,,,,,,,707.384309,1391,1733150,99.92,3463.01
647,,,,,,,,,,,777.280526,1470,1734620,99.99,3465.87
648,,,,,,,,,,,924.760035,692,1735312,100.05,3465.87
649,,,,,,,,,,,1067.715182,1120,1736432,99.95,3465.87
650,,,,,,,,,,,976.551662,1000,1737432,99.86,3528.80
651,,,,,,,,,,,1075.900387,822,1738254,99.76,3599.14
652,,,,,,,,,,,1149.092531,824,1739078,99.91,3669.49
653,,,,,,,,,,,1402.301737,759,1739837,99.88,3730.49
654,,,,,,,,,,,899.294626,1243,1741080,100.01,3733.28
655,,,,,,,,,,,798.687968,1363,1742443,100.15,3735.46
656,,,,,,,,,,,846.490927,644,1743087,100.05,3735.46
657,,,,,,,,,,,1253.427180,975,1744062,99.96,3735.64
658,,,,,,,,,,,1138.516389,875,1744937,99.86,3735.81
659,,,,,,,,,,,1241.691527,764,1745701,99.95,3735.99
660,,,,,,,,,,,1361.752425,556,1746257,99.92,3735.99
661,,,,,,,,,,,1449.046243,783,1747040,99.81,3735.99
662,,,,,,,,,,,1607.900923,652,1747692,99.71,3735.99
663,,,,,,,,,,,1735.780504,389,1748081,99.60,3735.99
664,,,,,,,,,,,1866.101395,618,1748699,99.51,3735.99
665,,,,,,,,,,,1917.008202,399,1749098,99.64,3735.99
666,,,,,,,,,,,1962.858701,603,1749701,99.54,3735.99
667,,,,,,,,,,,1985.392688,398,1750099,99.43,3735.99
668,,,,,,,,,,,1978.193998,625,1750724,99.32,3735.99
